cell_id,cycle_number,capacity_ah,cap_endpoint_ah,mean_voltage_v,min_voltage_v,max_voltage_v,mean_abs_current_a,mean_temperature_c,duration_s,n_samples,dt_s,soh,is_synthetic
B0005,0,1.859774,1.856487,3.529829,2.612467,4.191492,1.818712,32.865786,3690.234000,197,15.565938,0.929887,False
B0005,1,1.847791,1.846327,3.537320,2.587209,4.189773,1.817644,32.968785,3672.344000,196,15.565938,0.923896,False
B0005,2,1.837982,1.835349,3.543737,2.651917,4.188187,1.816542,32.885532,3651.641000,195,15.565938,0.918991,False
B0005,3,1.841474,1.835263,3.543666,2.592948,4.188461,1.825618,32.735171,3631.563000,194,15.565938,0.920737,False
B0005,4,1.840524,1.834646,3.542343,2.547420,4.188299,1.826148,32.588396,3629.172000,194,15.565938,0.920262,False
B0005,5,1.835326,1.835662,3.541335,2.520948,4.188816,1.816900,32.653404,3652.281000,195,15.565938,0.917663,False
B0005,6,1.836796,1.835146,3.541025,2.487927,4.188392,1.816838,32.678744,3650.828000,195,15.565938,0.918398,False
B0005,7,1.827893,1.825757,3.554133,2.665205,4.188928,1.844408,32.584806,3572.453000,191,15.565938,0.913946,False
B0005,8,1.824077,1.824774,3.552936,2.603858,4.189029,1.854064,32.509956,3550.594000,190,15.565938,0.912038,False
B0005,9,1.823667,1.824613,3.551206,2.552854,4.189223,1.853659,32.431562,3551.250000,190,15.565938,0.911834,False
B0005,10,1.827401,1.824620,3.549292,2.472448,4.188916,1.863424,32.286463,3530.250000,189,15.565938,0.913700,False
B0005,11,1.815126,1.814202,3.559759,2.649564,4.189876,1.873003,32.511852,3491.016000,187,15.565938,0.907563,False
B0005,12,1.817693,1.813752,3.558082,2.572498,4.189287,1.882660,32.442517,3470.281000,186,15.565938,0.908847,False
B0005,13,1.814711,1.813440,3.555692,2.524989,4.188838,1.882598,32.292923,3470.000000,186,15.565938,0.907356,False
B0005,14,1.802620,1.802598,3.562747,2.694622,4.189110,1.881824,32.172237,3450.297000,185,15.565938,0.901310,False
B0005,15,1.798221,1.802107,3.561452,2.640101,4.189212,1.892260,32.052131,3429.407000,184,15.565938,0.899111,False
B0005,16,1.805265,1.802580,3.560342,2.573904,4.188900,1.902778,32.053778,3409.484000,183,15.565938,0.902632,False
B0005,17,1.800032,1.803068,3.559119,2.494240,4.188780,1.913347,32.077829,3390.422000,182,15.565938,0.900016,False
B0005,18,1.799915,1.802778,3.557887,2.455679,4.189273,1.913208,32.069798,3390.281000,182,15.565938,0.899958,False
B0005,19,1.808915,1.847026,3.552038,2.632143,4.187614,1.855455,32.593630,3591.734000,192,15.565938,0.904458,False
B0005,20,1.817960,1.847417,3.552567,2.502776,4.187629,1.874743,32.838065,3552.297000,190,15.565938,0.908980,False
B0005,21,1.836128,1.836177,3.556794,2.617508,4.187447,1.873879,32.473817,3531.578000,189,15.565938,0.918064,False
B0005,22,1.825027,1.825781,3.561410,2.694074,4.187344,1.883276,32.136441,3492.907000,187,15.565938,0.912513,False
B0005,23,1.825198,1.825114,3.556611,2.623767,4.187438,1.873332,32.041275,3511.594000,188,15.565938,0.912599,False
B0005,24,1.823554,1.825582,3.558674,2.501080,4.187741,1.913979,31.901775,3431.937000,184,15.565938,0.911777,False
B0005,25,1.816210,1.814031,3.564103,2.684999,4.188261,1.903105,31.819874,3431.125000,184,15.565938,0.908105,False
B0005,26,1.814625,1.814769,3.559588,2.547109,4.187339,1.913471,31.724022,3412.406000,183,15.565938,0.907312,False
B0005,27,1.808014,1.813969,3.556833,2.471315,4.187560,1.913621,31.676696,3410.688000,183,15.565938,0.904007,False
B0005,28,1.801357,1.802766,3.562441,2.661390,4.188052,1.902648,31.707384,3410.718000,183,15.565938,0.900678,False
B0005,29,1.801348,1.804077,3.559141,2.541762,4.187667,1.913082,31.707668,3392.719000,182,15.565938,0.900674,False
B0005,30,1.810354,1.851803,3.557316,2.628919,4.201070,1.920623,31.980881,3470.672000,371,9.360000,0.905177,False
B0005,31,1.819406,1.830704,3.561871,2.631255,4.199622,1.929895,32.149889,3414.109000,365,9.360000,0.909703,False
B0005,32,1.820887,1.819904,3.561759,2.654881,4.199853,1.929319,31.954656,3395.219000,363,9.360000,0.910443,False
B0005,33,1.813162,1.809308,3.559731,2.674969,4.199103,1.923358,31.549393,3386.000000,362,9.375000,0.906581,False
B0005,34,1.807972,1.804610,3.557594,2.615971,4.199999,1.928509,31.452644,3368.187000,360,9.375000,0.903986,False
B0005,35,1.802954,1.799377,3.559724,2.658447,4.199675,1.923152,31.988573,3368.266000,360,9.375000,0.901477,False
B0005,36,1.792254,1.788443,3.559062,2.697943,4.199185,1.917064,31.731389,3358.719000,359,9.375000,0.896127,False
B0005,37,1.784058,1.782923,3.557016,2.661727,4.200012,1.922067,31.552457,3339.500000,357,9.360000,0.892029,False
B0005,38,1.776534,1.773034,3.556248,2.699288,4.199237,1.916270,31.399532,3331.265000,356,9.375000,0.888267,False
